name,t,dt,sensor_type,lidar_x,lidar_y,nis_lidar,radar_r,radar_phi,radar_dr,nis_radar,x_px,x_py,x_v,x_yaw_angle,x_yaw_rate
car2,0.633333,0.033333,lidar,20.9137,-3.85417,1.6561,,,,,21.0827,-3.92902,-5.76286,-0.0961847,-0.167409
car2,0.633333,0,radar,,,,21.0558,-0.222744,-5.78806,3.3133,21.0726,-3.94122,-5.80059,-0.0840796,-0.13834
car3,0.633333,0.033333,lidar,-11.3976,0.152948,0.629488,,,,,-11.3173,0.0774314,1.09243,0.499416,0.576332
car3,0.633333,0,radar,,,,10.9895,3.10644,-1.22134,2.8711,-11.3052,0.0682252,1.16145,0.427593,0.403869
car1,0.666666,0.033333,lidar,-6.51462,3.85614,1.80774,,,,,-6.46668,4.03195,5.07361,0.103327,0.241941
car1,0.666666,0,radar,,,,7.48951,2.61558,-4.2197,1.56717,-6.47244,4.00792,5.05599,0.0755804,0.170342
car2,0.666666,0.033333,lidar,20.777,-4.14386,1.87373,,,,,20.8645,-3.99289,-5.84698,-0.025343,0.0100839
car2,0.666666,0,radar,,,,21.0456,-0.163776,-5.76981,1.12997,20.8627,-3.98313,-5.85251,-0.0343128,-0.0113189
car3,0.666666,0.033333,lidar,-11.29,-0.132551,1.67516,,,,,-11.2728,0.0395343,1.09939,0.300441,0.192738
car3,0.666666,0,radar,,,,11.1315,3.1668,-1.26809,1.84059,-11.2646,0.0404484,1.17619,0.288027,0.157594
car1,0.7,0.033334,lidar,-6.19468,4.05223,0.505974,,,,,-6.29247,4.03231,5.10237,0.0912395,0.191233
car1,0.7,0,radar,,,,7.32158,2.59145,-4.22646,0.979804,-6.29485,4.01446,5.10215,0.0702441,0.137603
car2,0.7,0.033334,lidar,20.727,-3.94777,0.161216,,,,,20.6739,-3.96602,-5.83946,-0.0444402,-0.0332572
car2,0.7,0,radar,,,,20.8255,-0.17778,-5.79264,0.714828,20.6705,-3.96082,-5.85189,-0.0489993,-0.0438957
car3,0.7,0.033334,lidar,-11.0937,0.0689691,0.7705,,,,,-11.2202,0.0553631,1.19615,0.298026,0.163959
car3,0.7,0,radar,,,,11.0614,3.15411,-1.35466,1.8617,-11.2118,0.0544129,1.26879,0.27707,0.111049
car1,0.733333,0.033333,lidar,-5.99443,4.12674,0.999094,,,,,-6.10727,4.04968,5.17999,0.0944963,0.178079
car1,0.733333,0,radar,,,,7.04402,2.56144,-4.35159,1.76639,-6.10327,4.03295,5.21674,0.0719239,0.118234
car2,0.733333,0.033333,lidar,20.5567,-3.87326,0.438332,,,,,20.4853,-3.92624,-5.82874,-0.0725622,-0.0918314
car2,0.733333,0,radar,,,,20.4952,-0.197197,-5.93603,1.7092,20.4759,-3.9267,-5.8842,-0.0720965,-0.0917033
car3,0.733333,0.033333,lidar,-11.0156,0.150306,1.27921,,,,,-11.1632,0.0843046,1.30853,0.33106,0.19212
car3,0.733333,0,radar,,,,10.879,3.13591,-1.56027,3.0027,-11.1502,0.0785689,1.40516,0.280309,0.0725311
car1,0.766666,0.033333,lidar,-6.27938,4.09451,5.05526,,,,,-5.96199,4.03402,5.11918,0.0632106,0.0920974
car1,0.766666,0,radar,,,,7.18988,2.54995,-4.25133,0.387518,-5.96086,4.02609,5.14723,0.05189,0.0625665
car2,0.766666,0.033333,lidar,19.9006,-3.90549,5.98949,,,,,20.2546,-3.92538,-5.93952,-0.0623723,-0.0649182
car2,0.766666,0,radar,,,,20.5876,-0.197592,-5.8564,0.0643184,20.2538,-3.92743,-5.93808,-0.0605419,-0.0609922
car3,0.766666,0.033333,lidar,-11.4213,0.126443,4.14053,,,,,-11.1274,0.100014,1.3773,0.319364,0.132174
car3,0.766666,0,radar,,,,11.1173,3.13662,-1.54102,1.70054,-11.1205,0.0955158,1.44769,0.284168,0.0496097
car1,0.8,0.033334,lidar,-5.74719,3.96719,0.264013,,,,,-5.7894,4.0278,5.13827,0.0483168,0.0517276
car1,0.8,0,radar,,,,6.88856,2.50107,-4.57478,3.62096,-5.77143,4.02751,5.27365,0.0381203,0.0177525
car2,0.8,0.033334,lidar,20.0611,-4.03281,0.449219,,,,,20.0527,-3.94701,-5.9514,-0.0370488,-0.00948915
car2,0.8,0,radar,,,,20.2322,-0.234841,-6.20303,3.18474,20.0406,-3.9536,-6.05453,-0.0332915,-0.00468493
car3,0.8,0.033334,lidar,-11.0084,0.00919354,0.534957,,,,,-11.072,0.086144,1.42834,0.213434,-0.0701023
car3,0.8,0,radar,,,,10.9057,3.10035,-1.94587,4.1365,-11.0559,0.0886024,1.59872,0.198452,-0.111171
car1,0.833333,0.033333,lidar,-5.3772,4.07794,1.94184,,,,,-5.57186,4.05294,5.35928,0.0548146,0.0491856
car1,0.833333,0,radar,,,,6.59219,2.46694,-4.22343,3.1736,-5.55205,4.06943,5.44657,0.0668456,0.0700399
car2,0.833333,0.033333,lidar,20.0589,-3.92206,1.99501,,,,,19.8555,-3.93216,-6.01899,-0.0460596,-0.0293243
car2,0.833333,0,radar,,,,19.8809,-0.256773,-5.87763,5.55792,19.8477,-3.95162,-6.02366,-0.0301665,0.00205387
car3,0.833333,0.033333,lidar,-10.7563,0.131889,2.62926,,,,,-10.9902,0.10695,1.63696,0.209306,-0.0850764
car3,0.833333,0,radar,,,,10.6963,3.07926,-1.67618,1.98662,-10.9827,0.105685,1.67919,0.197805,-0.108996
car1,0.866666,0.033333,lidar,-5.42474,4.10494,0.140585,,,,,-5.37531,4.08234,5.43632,0.068957,0.0693972
car1,0.866666,0,radar,,,,7.21019,2.46927,-4.00657,2.85365,-5.37281,4.09975,5.45764,0.0824495,0.0951333
car2,0.866666,0.033333,lidar,19.6386,-3.89506,0.08927,,,,,19.6488,-3.9329,-6.01886,-0.0396849,-0.0159927
car2,0.866666,0,radar,,,,20.4431,-0.241654,-5.68973,4.31333,19.6566,-3.95162,-5.95528,-0.0251369,0.012635
car3,0.866666,0.033333,lidar,-10.9206,0.172875,0.108248,,,,,-10.9294,0.130851,1.69393,0.233306,-0.0436569
car3,0.866666,0,radar,,,,11.3985,3.09506,-1.54103,3.65874,-10.9371,0.15028,1.69331,0.292258,0.0546456
car1,0.9,0.033334,lidar,-5.32213,3.92496,1.95426,,,,,-5.2149,4.08258,5.35567,0.0612192,0.051168
car1,0.9,0,radar,,,,6.51124,2.46471,-4.43572,1.90817,-5.2064,4.07312,5.43896,0.0469059,0.0161648
car2,0.9,0.033334,lidar,19.3679,-4.07504,0.851039,,,,,19.448,-3.9824,-5.98406,0.00151017,0.0604373
car2,0.9,0,radar,,,,19.6873,-0.232801,-6.15107,2.06979,19.438,-3.98504,-6.07295,0.00183861,0.0587687
car3,0.9,0.033334,lidar,-10.9335,0.00908543,0.934598,,,,,-10.8877,0.128412,1.65022,0.191773,-0.114919
car3,0.9,0,radar,,,,10.7809,3.10441,-2.05177,2.67117,-10.8752,0.1413,1.79604,0.210817,-0.0948602
car1,0.933333,0.033333,lidar,-5.37956,3.98044,5.24198,,,,,-5.06641,4.05023,5.29099,0.0227131,-0.0282236
car1,0.933333,0,radar,,,,6.41962,2.48982,-4.26348,0.930791,-5.07171,4.03337,5.29339,0.00772655,-0.0580258
car2,0.933333,0.033333,lidar,18.9365,-4.01956,3.72521,,,,,19.2147,-4.00444,-6.12232,0.0180413,0.0840102
car2,0.933333,0,radar,,,,19.5377,-0.193598,-6.01455,0.265372,19.2131,-3.99923,-6.13635,0.0141387,0.0767355
car3,0.933333,0.033333,lidar,-11.1055,0.0831569,3.60688,,,,,-10.8361,0.137795,1.74662,0.173312,-0.153086
car3,0.933333,0,radar,,,,10.7679,3.14392,-1.96079,0.966874,-10.8284,0.129377,1.81973,0.142912,-0.208924
car1,0.966666,0.033333,lidar,-4.85819,3.92698,0.525027,,,,,-4.8972,4.02306,5.27508,-0.00185409,-0.0707159
