name,x,y,v,angle,acc
car1,5.69779,3.21204,5.85001,-0.409501,0
car2,7.6,-4,-6,0,0
car3,-3.09512,3.07556,6.75,0.366667,2.5
car1,5.87667,3.1344,5.85001,-0.429001,0
car2,7.4,-4,-6,0,0
car3,-2.88507,3.15623,6.83334,0.366667,2.5
car1,6.054,3.05329,5.85001,-0.448501,0
car2,7.2,-4,-6,0,0
car3,-2.67244,3.23789,6.91667,0.366667,2.5
car1,6.22972,2.96874,5.85001,-0.468001,0
car2,7,-4,-6,0,0
car3,-2.45721,3.32054,7,0.366667,2.5
car1,6.40375,2.88077,5.85001,-0.487501,0
car2,6.8,-4,-6,0,0
car3,-2.23938,3.4042,7.08334,0.366667,2.5
car1,6.57603,2.78943,5.85001,-0.507001,0
car2,6.6,-4,-6,0,0
car3,-2.01897,3.48884,7.16667,0.366667,2.5
car1,6.7465,2.69474,5.85001,-0.526501,0
car2,6.4,-4,-6,0,0
car3,-1.79596,3.57449,7.25,0.366667,2.5
car1,6.91509,2.59675,5.85001,-0.546001,0
car2,6.2,-4,-6,0,0
car3,-1.57036,3.66112,7.33334,0.366667,2.5
car1,7.08174,2.4955,5.85001,-0.565501,0
car2,6,-4,-6,0,0
car3,-1.34216,3.74876,7.41667,0.366667,2.5
car1,7.24638,2.39101,5.85001,-0.585001,0
car2,5.8,-4,-6,0,0
car3,-1.11137,3.83739,7.50001,0.366667,2.5
car1,7.40896,2.28333,5.85001,-0.604501,0
car2,5.6,-4,-6,0,0
car3,-0.877988,3.92702,7.50001,0.241667,0
car1,7.5694,2.1725,5.85001,-0.624001,0
car2,5.4,-4,-6,0,0
car3,-0.635253,3.98685,7.50001,0.116667,0
car1,7.72765,2.05856,5.85001,-0.643501,0
car2,5.2,-4,-6,0,0
car3,-0.386952,4.01595,7.50001,-0.0083335,0
car1,7.88365,1.94156,5.85001,-0.624001,0
car2,5,-4,-6,0,0
car3,-0.136961,4.01386,7.56667,-0.0083335,2
car1,8.04191,1.82763,5.85001,-0.604501,0
car2,4.8,-4,-6,0,0
car3,0.115253,4.01176,7.63334,-0.0083335,2
